날짜,공매도잔고,상장주식수,공매도금액,시가총액,비중
2025-07-01,802797,728002365,229198543500,207844675207500.0,0.11
2025-07-02,642763,728002365,179330877000,203112659835000.0,0.09
2025-07-03,640409,728002365,178353906500,202748658652500.0,0.09
2025-07-04,760198,728002365,205633559000,196924639732500.0,0.1
2025-07-07,830248,728002365,224997208000,197288640915000.0,0.11
2025-07-08,828636,728002365,233675352000,205296666930000.0,0.11
2025-07-09,823227,728002365,231326787000,204568664565000.0,0.11
2025-07-10,741414,728002365,220199958000,216216702405000.0,0.1
2025-07-11,786409,728002365,231597450500,214396696492500.0,0.11
2025-07-14,792703,728002365,237810900000,218400709500000.0,0.11
2025-07-15,842973,728002365,251627440500,217308705952500.0,0.12
2025-07-16,1285768,728002365,380587328000,215488700040000.0,0.18
2025-07-17,1132891,728002365,305314124500,196196637367500.0,0.16
2025-07-18,1025346,728002365,275818074000,195832636185000.0,0.14
2025-07-21,1189014,728002365,324006315000,198380644462500.0,0.16
2025-07-22,1310532,728002365,351877842000,195468635002500.0,0.18
2025-07-23,1446341,728002365,389065729000,195832636185000.0,0.2
2025-07-24,1400738,728002365,377498891000,196196637367500.0,0.19
2025-07-25,1183789,728002365,314887874000,193648629090000.0,0.16
2025-07-28,1267207,728002365,332008234000,190736619630000.0,0.17
2025-07-29,1218669,728002365,319900612500,191100620812500.0,0.17
2025-07-30,1279220,728002365,337074470000,191828623177500.0,0.18
2025-07-31,1025729,728002365,280536881500,199108646827500.0,0.14
2025-08-01,1105477,728002365,285213066000,187824610170000.0,0.15
2025-08-04,1003767,728002365,258971886000,187824610170000.0,0.14
2025-08-05,957794,728002365,252378719000,191828623177500.0,0.13
2025-08-06,993847,728002365,256909449500,188188611352500.0,0.14
2025-08-07,950267,728002365,248969954000,190736619630000.0,0.13
2025-08-08,970164,728002365,248847066000,186732606622500.0,0.13
2025-08-11,811741,728002365,216734847000,194376631455000.0,0.11
2025-08-12,908075,728002365,244272175000,195832636185000.0,0.12
2025-08-13,788456,728002365,219190768000,202384657470000.0,0.11
2025-08-14,799694,728002365,221115391000,201292653922500.0,0.11
2025-08-18,838741,728002365,224363217500,194740632637500.0,0.12
2025-08-19,846013,728002365,222501419000,191464621995000.0,0.12
2025-08-20,811397,728002365,207311933500,186004604257500.0,0.11
2025-08-21,1060561,728002365,259837445000,178360579425000.0,0.15
2025-08-22,1063731,728002365,266996481000,182728593615000.0,0.15
2025-08-25,1430232,728002365,371145204000,188916613717500.0,0.2
2025-08-26,1436914,728002365,375753011000,190372618447500.0,0.2
2025-08-27,1439484,728002365,374265840000,189280614900000.0,0.2
2025-08-28,1455339,728002365,390758521500,195468635002500.0,0.2
2025-08-29,1505939,728002365,405097591000,195832636185000.0,0.21
2025-09-01,1624596,728002365,415896576000,186368605440000.0,0.22
2025-09-02,1708344,728002365,445023612000,189644616082500.0,0.23
2025-09-03,1737177,728002365,456008962500,191100620812500.0,0.24
2025-09-04,1949737,728002365,517655173500,193284627907500.0,0.27
2025-09-05,2096874,728002365,573495039000,199108646827500.0,0.29
2025-09-08,2086993,728002365,578097061000,201656655105000.0,0.29
2025-09-09,1924055,728002365,554127840000,209664681120000.0,0.26
2025-09-10,1768100,728002365,537502400000,221312718960000.0,0.24
2025-09-11,1665166,728002365,511205962000,223496726055000.0,0.23
2025-09-12,1498667,728002365,492312109500,239148776902500.0,0.21
2025-09-15,1501887,728002365,497124597000,240968782815000.0,0.21
2025-09-16,1511376,728002365,525958848000,253344823020000.0,0.21
2025-09-17,1639231,728002365,546683538500,242788788727500.0,0.23
2025-09-18,1661694,728002365,586577982000,256984834845000.0,0.23
2025-09-19,1836372,728002365,648239316000,256984834845000.0,0.25
2025-09-22,1818990,728002365,638465490000,255528830115000.0,0.25
2025-09-23,1892938,728002365,683350618000,262808853765000.0,0.26
