날짜,거래량,잔고수량,거래대금,잔고금액
2025-07-01,760388,1362615,46038984600,82029423000
2025-07-02,662293,1373906,39927460200,83533484800
2025-07-03,460613,913489,28848264850,58280598200
2025-07-04,1882862,1194919,119437450500,75638372700
2025-07-07,1419893,1130381,88413325000,69744507700
2025-07-08,1255880,1000610,77152174650,61437454000
2025-07-09,654201,1126902,39669592000,68064880800
2025-07-10,538534,959243,32765760550,58513823000
2025-07-11,617285,859623,38549965100,53812399800
2025-07-14,1237233,862923,77021899850,53932687500
2025-07-15,889125,917698,56201564350,58457362600
2025-07-16,1614589,983102,103731255900,63606699400
2025-07-17,2860902,972632,189130460100,64874554400
2025-07-18,1716666,885888,115197633550,59443084800
2025-07-21,946210,983269,64221792900,66665638200
2025-07-22,919231,1046245,61642334600,69052170000
2025-07-23,473053,1324850,31242352100,87970040000
2025-07-24,938510,1352750,62165855850,89281500000
2025-07-25,327707,1324331,21585970600,87273412900
2025-07-28,1858417,1475282,128469190950,103859852800
2025-07-29,2908631,1408773,204211650600,99459373800
2025-07-30,2434466,1474320,177150634500,107035632000
2025-07-31,1077521,1485445,77466955900,106060773000
2025-08-01,1123823,1637036,78650696600,112791780400
2025-08-04,1860386,1718250,129630241150,119762025000
2025-08-05,1221672,1689662,86045828400,118107373800
2025-08-06,592040,1751823,40752745800,120525422400
2025-08-07,1139604,1459000,80100964700,102859500000
2025-08-08,1681920,1387935,120395079850,99653733000
2025-08-11,1039877,1386651,74019331950,98452221000
2025-08-12,278922,1523033,19963352400,108287646300
2025-08-13,431359,1422216,30953002050,102257330400
2025-08-14,419882,1471734,30054947700,105376154400
2025-08-18,315893,1594564,22236830900,111619480000
2025-08-19,502660,1598287,35270312150,111880090000
2025-08-20,1659148,1491048,116476930400,105118884000
2025-08-21,1525457,1489828,109037350550,105181856800
2025-08-22,596232,1484828,42510197300,106016719200
2025-08-25,730821,1648260,52125855800,117850590000
2025-08-26,482350,1683633,34061872100,118359399900
2025-08-27,279513,1772598,19717446250,125145418800
2025-08-28,568925,1794149,39831059950,124872770400
2025-08-29,344458,1910333,24105977300,133150210100
2025-09-01,339858,1913298,23118078400,129338944800
2025-09-02,442222,1909493,30547618200,131945966300
2025-09-03,301750,1645589,20990098500,114862112200
2025-09-04,316689,1616741,22051640650,113333544100
2025-09-05,242698,1615970,16950824000,112309915000
2025-09-08,307169,1475315,21476336100,103419581500
2025-09-09,387504,1505612,27516240950,107651258000
2025-09-10,573839,2060817,41599800700,149615314200
2025-09-11,575664,2351291,42161044900,172584759400
2025-09-12,327531,2300391,24521222950,173449481400
2025-09-15,173700,2297915,13358501300,175790497500
2025-09-16,245948,2191546,19303834950,174008752400
2025-09-17,654618,2131316,51195643350,166668911200
2025-09-18,570300,2130424,45461259100,171499132000
2025-09-19,490311,2085085,39304916750,166181274500
2025-09-22,566818,2116851,47271706700,176757058500
2025-09-23,754568,2116465,63922117650,179264585500
2025-09-24,263568,976801,22325331400,83418805400
2025-09-25,701843,981342,60214855500,84493546200
2025-09-26,587097,1552803,49323136900,129348489900
2025-09-29,234000,1463492,19752484450,123226026400
2025-09-30,467457,1373321,39298323600,115221631900
2025-10-01,166208,1604714,14250818600,138005404000
2025-10-02,1583715,2727821,141720140200,242776069000
2025-10-10,1013815,2727821,95108533400,257506302400
2025-10-13,1059656,1680355,97380725700,156777121500
2025-10-14,822312,1728405,76585258250,158321898000
2025-10-15,247741,1719055,23403875550,163310225000
2025-10-16,1044517,1810736,101576480500,176908907200
2025-10-17,886751,1807506,86737608400,176954837400
2025-10-20,609411,1773878,59437872150,174017431800
2025-10-21,698615,1765547,68941128250,172140832500
2025-10-22,798762,1617327,77298468300,159468442200
2025-10-23,1201451,1470311,116347305750,141885011500
2025-10-24,204391,1307236,20063256400,129154916800
2025-10-27,729060,1211694,73941047850,123592788000
2025-10-28,1079992,548758,107660905600,54601421000
2025-10-29,580525,508015,58061607200,51055507500
2025-10-30,850775,549507,88449411250,57203678700
2025-10-31,583115,650922,61553922950,69974115000
2025-11-03,1000462,477586,109764481500,53059804600
2025-11-04,870052,468411,94761260150,49136313900
2025-11-05,1070419,477610,106986826200,48047566000
2025-11-06,640950,463138,64241484950,45943289600
2025-11-07,742425,459533,72871621100,44988280700
2025-11-10,384879,515810,38602037250,51890486000
2025-11-11,1665236,515810,173606744750,53386335000
2025-11-12,381823,513190,39292497250,52909889000
2025-11-13,1004500,732668,103548882750,75318270400
2025-11-14,788726,733036,77712079200,71251099200
2025-11-17,674547,732512,67614328550,73690707200
2025-11-18,960981,737510,94772422400,72128478000
2025-11-19,306117,737502,29456708150,71168943000
2025-11-20,443530,955163,45013381600,96089397800
2025-11-21,388260,952838,37034835250,90329042400
2025-11-24,437746,1169378,42887970050,113078852600
2025-11-25,673408,1162317,66751478150,115418078100
2025-11-26,226427,1133477,22967532400,116521435600
2025-11-27,343469,1138477,35696075750,117832369500
2025-11-28,872739,1135920,88286534350,114159960000
2025-12-01,125134,1131747,12633806350,114080097600
2025-12-02,162788,1074133,16685520050,111065352200
2025-12-03,162400,1033733,17031742300,108025098500
2025-12-04,133299,1028217,13859538600,108065606700
2025-12-05,277274,1022655,29705787200,110855802000
2025-12-08,987547,1022655,107820728950,111980722500
2025-12-09,224234,1022632,24325168450,110853308800
