날짜,공매도,매수,비중
2025-07-01,46038984600,1112050929050,4.14
2025-07-02,39927460200,1136193844250,3.51
2025-07-03,28848264850,2930508263100,0.98
2025-07-04,119437450500,2119087532470,5.64
2025-07-07,88413325000,1431021155550,6.18
2025-07-08,77152174650,1614592873450,4.78
2025-07-09,39669592000,1346292572650,2.95
2025-07-10,32765760550,1098855935994,2.98
2025-07-11,38549965100,1646211960750,2.34
2025-07-14,77021899850,1029144319850,7.48
2025-07-15,56201564350,1496507109008,3.76
2025-07-16,103731255900,1902420030037,5.45
2025-07-17,189130460100,3607238501587,5.24
2025-07-18,115197633550,2143731424750,5.37
2025-07-21,64221792900,1638150948650,3.92
2025-07-22,61642334600,1984077103368,3.11
2025-07-23,31242352100,1374906361800,2.27
2025-07-24,62165855850,1110555199500,5.6
2025-07-25,21585970600,684880842300,3.15
2025-07-28,128469190950,3587816970800,3.58
2025-07-29,204211650600,2715022823600,7.52
2025-07-30,177150634500,3704033908248,4.78
2025-07-31,77466955900,2643108410600,2.93
2025-08-01,78650696600,2445601273744,3.22
2025-08-04,129630241150,1334609351600,9.71
2025-08-05,86045828400,1333465260350,6.45
2025-08-06,40752745800,1145544492550,3.56
2025-08-07,80100964700,1421406922800,5.64
2025-08-08,120395079850,2198134703218,5.48
2025-08-11,74019331950,1097983316100,6.74
2025-08-12,19963352400,1538135285292,1.3
2025-08-13,30953002050,1102844652050,2.81
2025-08-14,30054947700,999142899561,3.01
2025-08-18,22236830900,1216593675300,1.83
2025-08-19,35270312150,913965787350,3.86
2025-08-20,116476930400,1550720065500,7.51
2025-08-21,109037350550,1709601627537,6.38
2025-08-22,42510197300,824748490352,5.15
2025-08-25,52125855800,925529232750,5.63
2025-08-26,34061872100,1230454487850,2.77
2025-08-27,19717446250,905493650100,2.18
2025-08-28,39831059950,987327765800,4.03
2025-08-29,24105977300,949072273750,2.54
2025-09-01,23118078400,1185706629150,1.95
2025-09-02,30547618200,935407847280,3.27
2025-09-03,20990098500,829120714850,2.53
2025-09-04,22051640650,946847927207,2.33
2025-09-05,16950824000,922366971000,1.84
2025-09-08,21476336100,781297771067,2.75
2025-09-09,27516240950,1330173599050,2.07
2025-09-10,41599800700,1975355501370,2.11
2025-09-11,42161044900,1868991680500,2.26
2025-09-12,24521222950,2812788393600,0.87
2025-09-15,13358501300,2138068236850,0.62
2025-09-16,19303834950,3000454954844,0.64
2025-09-17,51195643350,2341727831012,2.19
2025-09-18,45461259100,2787039646896,1.63
2025-09-19,39304916750,2191285047884,1.79
2025-09-22,47271706700,3347061932650,1.41
2025-09-23,63922117650,2870201048605,2.23
2025-09-24,22325331400,2187565469540,1.02
2025-09-25,60214855500,2229918077152,2.7
2025-09-26,49323136900,2898904727694,1.7
2025-09-29,19752484450,1554567129150,1.27
2025-09-30,39298323600,1699855570150,2.31
2025-10-01,14250818600,2570415987940,0.55
2025-10-02,141720140200,5723842605172,2.48
2025-10-10,95108533400,4336063882800,2.19
2025-10-13,97380725700,3114279002497,3.13
2025-10-14,76585258250,4740622087500,1.62
2025-10-15,23403875550,2798764600157,0.84
2025-10-16,101576480500,3754627838900,2.71
2025-10-17,86737608400,3163934044692,2.74
2025-10-20,59437872150,2432580650750,2.44
2025-10-21,68941128250,3238896335324,2.13
2025-10-22,77298468300,2176379725988,3.55
2025-10-23,116347305750,2313960693540,5.03
2025-10-24,20063256400,2557720505969,0.78
2025-10-27,73941047850,3248376505750,2.28
2025-10-28,107660905600,2786203149727,3.86
2025-10-29,58061607200,2908098209200,2.0
2025-10-30,88449411250,5347445669305,1.65
2025-10-31,61553922950,7254373077896,0.85
2025-11-03,109764481500,4974889715130,2.21
2025-11-04,94761260150,4961492692800,1.91
2025-11-05,106986826200,7046739445100,1.52
2025-11-06,64241484950,3975458512612,1.62
2025-11-07,72871621100,3351948115362,2.17
2025-11-10,38602037250,3268974347170,1.18
2025-11-11,173606744750,4207827852396,4.13
2025-11-12,39292497250,2585554681714,1.52
2025-11-13,103548882750,2657771319100,3.9
2025-11-14,77712079200,3039033021100,2.56
2025-11-17,67614328550,2289855819410,2.95
2025-11-18,94772422400,2381148127750,3.98
2025-11-19,29456708150,2407445926860,1.22
2025-11-20,45013381600,3603975363813,1.25
2025-11-21,37034835250,2990602123540,1.24
2025-11-24,42887970050,3654320814930,1.17
2025-11-25,66751478150,2241724045700,2.98
2025-11-26,22967532400,3195833699500,0.72
2025-11-27,35696075750,2543340690950,1.4
2025-11-28,88286534350,2092451537754,4.22
2025-12-01,12633806350,1582559408900,0.8
2025-12-02,16685520050,1864401520574,0.89
2025-12-03,17031742300,2100221633450,0.81
2025-12-04,13859538600,1742037436722,0.8
2025-12-05,29705787200,3032685938440,0.98
2025-12-08,107820728950,2405009268350,4.48
2025-12-09,24325168450,1973208183152,1.23
