날짜,공매도,매수,비중
2025-07-01,760388,18342083,4.15
2025-07-02,662293,18811820,3.52
2025-07-03,460613,46817156,0.98
2025-07-04,1882862,33334232,5.65
2025-07-07,1419893,22971949,6.18
2025-07-08,1255880,26247202,4.78
2025-07-09,654201,22209338,2.95
2025-07-10,538534,18050965,2.98
2025-07-11,617285,26409544,2.34
2025-07-14,1237233,16544486,7.48
2025-07-15,889125,23695829,3.75
2025-07-16,1614589,29638759,5.45
2025-07-17,2860902,54796578,5.22
2025-07-18,1716666,31937951,5.38
2025-07-21,946210,24109528,3.92
2025-07-22,919231,29722578,3.09
2025-07-23,473053,20875036,2.27
2025-07-24,938510,16744751,5.6
2025-07-25,327707,10393789,3.15
2025-07-28,1858417,52169100,3.56
2025-07-29,2908631,38733485,7.51
2025-07-30,2434466,51071361,4.77
2025-07-31,1077521,36815815,2.93
2025-08-01,1123823,34948816,3.22
2025-08-04,1860386,19142365,9.72
2025-08-05,1221672,18952544,6.45
2025-08-06,592040,16648790,3.56
2025-08-07,1139604,20218435,5.64
2025-08-08,1681920,30680687,5.48
2025-08-11,1039877,15421350,6.74
2025-08-12,278922,21464271,1.3
2025-08-13,431359,15373509,2.81
2025-08-14,419882,13961251,3.01
2025-08-18,315893,17287537,1.83
2025-08-19,502660,13028894,3.86
2025-08-20,1659148,22092345,7.51
2025-08-21,1525457,23927320,6.38
2025-08-22,596232,11555430,5.16
2025-08-25,730821,12975912,5.63
2025-08-26,482350,17439549,2.77
2025-08-27,279513,12857106,2.17
2025-08-28,568925,14103261,4.03
2025-08-29,344458,13563824,2.54
2025-09-01,339858,17438495,1.95
2025-09-02,442222,13562611,3.26
2025-09-03,301750,11933996,2.53
2025-09-04,316689,13599321,2.33
2025-09-05,242698,13212441,1.84
2025-09-08,307169,11158732,2.75
2025-09-09,387504,18751454,2.07
2025-09-10,573839,27254230,2.11
2025-09-11,575664,25616322,2.25
2025-09-12,327531,37487660,0.87
2025-09-15,173700,27831424,0.62
2025-09-16,245948,38303414,0.64
2025-09-17,654618,29974316,2.18
2025-09-18,570300,34902139,1.63
2025-09-19,490311,27375841,1.79
2025-09-22,566818,40284007,1.41
2025-09-23,754568,33887454,2.23
2025-09-24,263568,25831353,1.02
2025-09-25,701843,26053917,2.69
2025-09-26,587097,34697987,1.69
2025-09-29,234000,18416991,1.27
2025-09-30,467457,20221404,2.31
2025-10-01,166208,30037060,0.55
2025-10-02,1583715,63829282,2.48
2025-10-10,1013815,46196723,2.19
2025-10-13,1059656,33854997,3.13
2025-10-14,822312,50887423,1.62
2025-10-15,247741,29776008,0.83
2025-10-16,1044517,38730760,2.7
2025-10-17,886751,32311235,2.74
2025-10-20,609411,24958501,2.44
2025-10-21,698615,32778566,2.13
2025-10-22,798762,22428570,3.56
2025-10-23,1201451,23810372,5.05
2025-10-24,204391,25963799,0.79
2025-10-27,729060,32010817,2.28
2025-10-28,1079992,27936527,3.87
2025-10-29,580525,29051325,2.0
2025-10-30,850775,51457094,1.65
2025-10-31,583115,69105628,0.84
2025-11-03,1000462,45443605,2.2
2025-11-04,870052,45913289,1.89
2025-11-05,1070419,70686136,1.51
2025-11-06,640950,39559999,1.62
2025-11-07,742425,34173651,2.17
2025-11-10,384879,32775132,1.17
2025-11-11,1665236,40367420,4.13
2025-11-12,381823,25115843,1.52
2025-11-13,1004500,25772996,3.9
2025-11-14,788726,30846332,2.56
2025-11-17,674547,22835377,2.95
2025-11-18,960981,24115654,3.98
2025-11-19,306117,25440259,1.2
2025-11-20,443530,35583636,1.25
2025-11-21,388260,31344368,1.24
2025-11-24,437746,37442992,1.17
2025-11-25,673408,22544766,2.99
2025-11-26,226427,31554442,0.72
2025-11-27,343469,24417749,1.41
2025-11-28,872739,20646293,4.23
2025-12-01,125134,15662148,0.8
2025-12-02,162788,18163370,0.9
2025-12-03,162400,20028253,0.81
2025-12-04,133299,16726639,0.8
2025-12-05,277274,28384243,0.98
2025-12-08,987547,22009284,4.49
2025-12-09,224234,18194156,1.23
2025-12-10,300938,17692656,1.7
2025-12-11,502568,30103279,1.67
2025-12-12,215496,18024651,1.2
2025-12-15,241230,25286018,0.95
2025-12-16,244433,23310330,1.05
2025-12-17,138477,28200766,0.49
2025-12-18,279258,26134703,1.07
2025-12-19,311694,31014660,1.0
2025-12-22,88640,32376548,0.27
2025-12-23,128156,26434601,0.48
2025-12-24,90241,15743840,0.57
2025-12-26,170636,44804738,0.38
2025-12-29,718950,24943258,2.88
2025-12-30,491815,24962817,1.97
2026-01-02,603760,38872993,1.55
2026-01-05,594154,54831244,1.08
2026-01-06,1371696,58101572,2.36
2026-01-07,419273,58998176,0.71
2026-01-08,774237,51689972,1.5
2026-01-09,730736,37442059,1.95
2026-01-12,469052,32451412,1.45
2026-01-13,137699,27751460,0.5
2026-01-14,325322,22782027,1.43
2026-01-15,351033,31919115,1.1
2026-01-16,275094,38115670,0.72
2026-01-19,816323,29592077,2.76
2026-01-20,627305,31494180,1.99
2026-01-21,218668,40664062,0.54
2026-01-22,735676,40485363,1.82
2026-01-23,455296,31927958,1.43
2026-01-26,557859,25790504,2.16
2026-01-27,994766,37255965,2.67
2026-01-28,518155,36300732,1.43
2026-01-29,713040,45541258,1.57
2026-01-30,1334693,49389237,2.7
2026-02-02,389764,49569708,0.79
2026-02-03,173990,46204605,0.38
2026-02-04,155227,37773621,0.41
2026-02-05,531750,47560285,1.12
2026-02-06,409791,45744016,0.9
2026-02-09,311603,31256857,1.0
2026-02-10,428435,23642476,1.81
2026-02-11,215421,28475677,0.76
2026-02-12,196040,53250087,0.37
2026-02-13,367366,45149646,0.81
2026-02-19,763648,36673348,2.08
2026-02-20,234666,32355856,0.73
2026-02-23,758644,35207920,2.15
2026-02-24,205703,38821085,0.53
2026-02-25,524788,36025232,1.46
2026-02-26,1443985,44281662,3.26
2026-02-27,588952,68439905,0.86
2026-03-03,1138390,86333879,1.32
2026-03-04,2564586,138007637,1.86
2026-03-05,1922650,81292045,2.37
2026-03-06,640227,42321957,1.51
2026-03-09,2233430,63586150,3.51
2026-03-10,1659575,50467350,3.29
2026-03-11,1003940,35631095,2.82
2026-03-12,853869,27460612,3.11
2026-03-13,1547052,26386624,5.86
2026-03-16,777463,28269529,2.75
2026-03-17,988960,29135546,3.39
2026-03-18,888510,40259351,2.21
2026-03-19,1574488,29559268,5.33
2026-03-20,871381,42499576,2.05
2026-03-23,4092076,40619116,10.07
2026-03-24,1588495,35549123,4.47
2026-03-25,1346465,31744059,4.24
2026-03-26,3472333,44297778,7.84
2026-03-27,2875280,40001236,7.19
2026-03-30,1483355,29721791,4.99
2026-03-31,4260019,52884203,8.06
2026-04-01,2318852,47064784,4.93
2026-04-02,4861210,58086437,8.37
2026-04-03,1259965,29701092,4.24
2026-04-06,1450482,33278885,4.36
2026-04-07,3027774,47960784,6.31
2026-04-08,1065990,55390861,1.92
2026-04-09,1259931,53023593,2.38
2026-04-10,771590,26285088,2.94
2026-04-13,2673012,27032539,9.89
2026-04-14,643450,32784034,1.96
2026-04-15,839582,32152165,2.61
2026-04-16,331970,31186753,1.06
2026-04-17,784468,24637057,3.18
2026-04-20,517711,24287775,2.13
2026-04-21,163219,24968184,0.65
2026-04-22,116964,25517645,0.46
2026-04-23,235587,55251334,0.43
2026-04-24,967743,29558259,3.27
2026-04-27,141672,34674645,0.41
2026-04-28,69458,26811008,0.26
2026-04-29,84493,31601423,0.27
2026-04-30,1603343,32232785,4.97
2026-05-04,648554,47439834,1.37
2026-05-06,2204596,77972605,2.83
2026-05-07,1274768,60089770,2.12
2026-05-08,337601,35396255,0.95
2026-05-11,609302,51939595,1.17
2026-05-12,677531,65092871,1.04
2026-05-13,544722,56915099,0.96
2026-05-14,205651,60644432,0.34
2026-05-15,370531,60401119,0.61
2026-05-18,471068,54361396,0.87
2026-05-19,734931,45702792,1.61
2026-05-20,725440,56728782,1.28
2026-05-21,427805,55907170,0.77
2026-05-22,595287,27054611,2.2
2026-05-26,1164081,33500459,3.47
2026-05-27,873202,51272540,1.7
2026-05-28,491868,46478128,1.06
2026-05-29,2048839,52533036,3.9
2026-06-01,2075806,69301208,3.0
2026-06-02,1585064,65543962,2.42
2026-06-04,502934,45445663,1.11
2026-06-05,1850986,49979522,3.7
2026-06-08,554638,57500613,0.96
2026-06-09,1428457,43270668,3.3
2026-06-10,518774,37650674,1.38
2026-06-11,1368704,42021966,3.26
2026-06-12,1069737,46839590,2.28
2026-06-15,1754189,29798752,5.89
2026-06-16,466087,26503561,1.76
2026-06-17,578319,27513297,2.1
2026-06-18,452098,49070225,0.92
2026-06-19,1435392,64139705,2.24
2026-06-22,843430,37501876,2.25
2026-06-23,1299815,61478748,2.11
2026-06-24,361416,69573838,0.52
2026-06-25,1167140,50054972,2.33
2026-06-26,2985247,57628818,5.18
2026-06-29,2449291,47248142,5.18
2026-06-30,1416760,39931354,3.55
2026-07-01,1278407,36587498,3.49
2026-07-02,1688232,55913285,3.02
2026-07-03,374046,47789940,0.78
2026-07-06,432322,35290347,1.23
2026-07-07,1392508,49757606,2.8
2026-07-08,602608,50410814,1.2
2026-07-09,1014778,42620258,2.38
2026-07-10,227821,30694956,0.74
2026-07-13,333039,49215220,0.68
2026-07-14,347123,61514012,0.56
2026-07-15,908486,35187332,2.58
2026-07-16,1264232,36555882,3.46
